state_name,year_2016,year_2015,year_2014
Alabama,4863300,4858979,4849377
Alaska,741894,738432,736732
Arizona,6931071,6828065,6731484
Arkansas,2988248,2978204,2966369
California,39250017,39144818,38802500
Colorado,5540545,5456574,5355866
Connecticut,3576452,3590886,3596677
Delaware,952065,945934,935614
Florida,20612439,20271272,19893297
Georgia,10310371,10214860,10097343
Hawaii,1428557,1431603,1419561
Idaho,1683140,1654930,1634464
Illinois,12801539,12859995,12880580
Indiana,6633053,6619680,6596855
Iowa,3134693,3123899,3107126
Kansas,2907289,2911641,2904021
Kentucky,4436974,4425092,4413457
Louisiana,4681666,4670724,4649676
Maine,1331479,1329328,1330089
Maryland,6016447,6006401,5976407
Massachusetts,6811779,6794422,6745408
Michigan,9928300,9922576,9909877
Minnesota,5519952,5489594,5457173
Mississippi,2988726,2992333,2994079
Missouri,6093000,6083672,6063589
Montana,1042520,1032949,1023579
Nebraska,1907116,1896190,1881503
Nevada,2940058,2890845,2839099
New Hampshire,1334795,1330608,1326813
New Jersey,8944469,8958013,8938175
New Mexico,2081015,2085109,2085572
New York,19745289,19795791,19746227
North Carolina,10146788,10042802,9943964
North Dakota,757952,756927,739482
Ohio,11614373,11613423,11594163
Oklahoma,3923561,3911338,3878051
Oregon,4093465,4028977,3970239
Pennsylvania,12784227,12802503,12787209
Rhode Island,1056426,1056298,1055173
South Carolina,4961119,4896146,4832482
South Dakota,865454,858469,853175
Tennessee,6651194,6600299,6549352
Texas,27862596,27469114,26956958
Utah,3051217,2995919,2942902
Vermont,624594,626042,626562
Virginia,8411808,8382993,8326289
Washington,7288000,7170351,7061530
West Virginia,1831102,1844128,1850326
Wisconsin,5778708,5771337,5757564
Wyoming,585501,586107,584153